method,n,qber_label,p_true,p_est,trial,leaked_bits,syndrome_rate,claimed_success,correct,undetected_error,net_key_fraction,time_s,work_units,variant,pool,code_seed
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,19,500,0.5,True,True,False,0.5,0.03512648499963689,108,aware-pipeline,0,1
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,20,500,0.5,True,True,False,0.5,0.004815242000404396,10,uniform,0,0
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,20,500,0.5,True,True,False,0.5,0.003845311999612022,7,aware-pipeline,0,0
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,20,600,0.6,True,True,False,0.4,0.0039304649999394314,6,uniform,0,1
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,20,500,0.5,True,True,False,0.5,0.003825641000730684,7,aware-pipeline,0,1
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,21,500,0.5,True,True,False,0.5,0.0041347449987370055,8,uniform,0,0
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,21,500,0.5,True,True,False,0.5,0.00351282799965702,6,aware-pipeline,0,0
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,21,600,0.6,True,True,False,0.4,0.0039667239998379955,6,uniform,0,1
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,21,500,0.5,True,True,False,0.5,0.003518315999826882,6,aware-pipeline,0,1
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,22,500,0.5,True,True,False,0.5,0.0035264839989395114,6,uniform,0,0
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,22,500,0.5,True,True,False,0.5,0.0035286889997223625,6,aware-pipeline,0,0
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,22,600,0.6,True,True,False,0.4,0.0036340570004540496,5,uniform,0,1
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,22,500,0.5,True,True,False,0.5,0.0029472930000338238,4,aware-pipeline,0,1
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,23,500,0.5,True,True,False,0.5,0.00506426699939766,11,uniform,0,0
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,23,500,0.5,True,True,False,0.5,0.003820017000180087,7,aware-pipeline,0,0
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,23,600,0.6,True,True,False,0.4,0.00394305600093503,6,uniform,0,1
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,23,500,0.5,True,True,False,0.5,0.0041830150003079325,8,aware-pipeline,0,1
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,24,500,0.5,True,True,False,0.5,0.005690338999556843,13,uniform,0,0
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,24,500,0.5,True,True,False,0.5,0.005681891001586337,13,aware-pipeline,0,0
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,24,600,0.6,True,True,False,0.4,0.00391489100002218,6,uniform,0,1
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,24,500,0.5,True,True,False,0.5,0.004427578000104404,9,aware-pipeline,0,1
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,25,500,0.5,True,True,False,0.5,0.004137058000196703,8,uniform,0,0
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,25,500,0.5,True,True,False,0.5,0.003832874999716296,7,aware-pipeline,0,0
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,25,600,0.6,True,True,False,0.4,0.0036314349999884143,5,uniform,0,1
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,25,500,0.5,True,True,False,0.5,0.0035216710002714535,6,aware-pipeline,0,1
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,26,500,0.5,True,True,False,0.5,0.004139810998822213,8,uniform,0,0
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,26,500,0.5,True,True,False,0.5,0.0035201869995944435,6,aware-pipeline,0,0
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,26,600,0.6,True,True,False,0.4,0.0036177319998387247,5,uniform,0,1
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,26,500,0.5,True,True,False,0.5,0.0035061380003753584,6,aware-pipeline,0,1
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,27,500,0.5,True,True,False,0.5,0.0038197440007934347,7,uniform,0,0
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,27,500,0.5,True,True,False,0.5,0.0035098819989798358,6,aware-pipeline,0,0
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,27,600,0.6,True,True,False,0.4,0.003320804000395583,4,uniform,0,1
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,27,500,0.5,True,True,False,0.5,0.0032036810007411987,5,aware-pipeline,0,1
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,28,500,0.5,True,True,False,0.5,0.004132142001253669,8,uniform,0,0
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,28,500,0.5,True,True,False,0.5,0.0035172759999113623,6,aware-pipeline,0,0
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,28,600,0.6,True,True,False,0.4,0.005194665000090026,10,uniform,0,1
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,28,500,0.5,True,True,False,0.5,0.003838590999293956,7,aware-pipeline,0,1
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,29,500,0.5,True,True,False,0.5,0.006324191001112922,15,uniform,0,0
