method,n,qber_label,p_true,p_est,trial,leaked_bits,syndrome_rate,claimed_success,correct,undetected_error,net_key_fraction,time_s,work_units
LDPC,256,1%,0.009699942551593089,0.01082753286929621,4,48,0.1875,True,False,True,0.0,0.0003825779995167977,4
GRAND,256,1%,0.009699942551593089,0.01082753286929621,4,39,0.15234375,True,True,False,0.84765625,0.3225527909999073,1924884
LDPC,256,1%,0.009699942551593089,0.01082753286929621,5,48,0.1875,True,True,False,0.8125,0.00017988899980991846,1
GRAND,256,1%,0.009699942551593089,0.01082753286929621,5,39,0.15234375,True,True,False,0.84765625,3.1727000532555394e-05,29
LDPC,256,1%,0.009699942551593089,0.01082753286929621,6,48,0.1875,True,True,False,0.8125,0.00011566900047910167,1
GRAND,256,1%,0.009699942551593089,0.01082753286929621,6,39,0.15234375,True,True,False,0.84765625,0.0001462540003558388,725
LDPC,256,1%,0.009699942551593089,0.01082753286929621,7,48,0.1875,True,True,False,0.8125,0.00016288699953292962,2
GRAND,256,1%,0.009699942551593089,0.01082753286929621,7,39,0.15234375,False,False,False,0.0,0.3345298320000438,2000000
LDPC,256,1%,0.009699942551593089,0.01082753286929621,8,48,0.1875,False,False,False,0.0,0.00533171500046592,120
GRAND,256,1%,0.009699942551593089,0.01082753286929621,8,39,0.15234375,True,True,False,0.84765625,0.2060683509998853,1211445
LDPC,256,1%,0.009699942551593089,0.01082753286929621,9,48,0.1875,True,True,False,0.8125,0.0003504349997456302,3
GRAND,256,1%,0.009699942551593089,0.01082753286929621,9,39,0.15234375,False,False,False,0.0,0.33394044099986786,2000000
LDPC,256,1%,0.009699942551593089,0.01082753286929621,10,48,0.1875,True,True,False,0.8125,0.0002075160000458709,1
GRAND,256,1%,0.009699942551593089,0.01082753286929621,10,39,0.15234375,True,True,False,0.84765625,0.003227672999855713,19289
LDPC,256,1%,0.009699942551593089,0.01082753286929621,11,48,0.1875,True,True,False,0.8125,0.00015297600020858226,1
GRAND,256,1%,0.009699942551593089,0.01082753286929621,11,39,0.15234375,True,True,False,0.84765625,5.616899943561293e-05,111
LDPC,256,1%,0.009699942551593089,0.01082753286929621,12,48,0.1875,False,False,False,0.0,0.005126760000166541,120
GRAND,256,1%,0.009699942551593089,0.01082753286929621,12,39,0.15234375,False,False,False,0.0,0.33594347899997956,2000000
LDPC,256,1%,0.009699942551593089,0.01082753286929621,13,48,0.1875,True,True,False,0.8125,0.0002592509999885806,1
GRAND,256,1%,0.009699942551593089,0.01082753286929621,13,39,0.15234375,True,True,False,0.84765625,4.164199981460115e-05,2
LDPC,256,1%,0.009699942551593089,0.01082753286929621,14,48,0.1875,True,True,False,0.8125,0.00012089600022591185,1
GRAND,256,1%,0.009699942551593089,0.01082753286929621,14,39,0.15234375,True,True,False,0.84765625,0.0003884630004904466,2085
LDPC,256,1%,0.009699942551593089,0.01082753286929621,15,48,0.1875,True,True,False,0.8125,0.00020585299989761552,3
GRAND,256,1%,0.009699942551593089,0.01082753286929621,15,39,0.15234375,False,False,False,0.0,0.33443593900028645,2000000
LDPC,256,1%,0.009699942551593089,0.01082753286929621,16,48,0.1875,True,True,False,0.8125,0.00038595800015173154,3
GRAND,256,1%,0.009699942551593089,0.01082753286929621,16,39,0.15234375,True,True,False,0.84765625,0.08381284200004302,501670
LDPC,256,1%,0.009699942551593089,0.01082753286929621,17,48,0.1875,True,True,False,0.8125,0.00021552199996222043,2
GRAND,256,1%,0.009699942551593089,0.01082753286929621,17,39,0.15234375,True,True,False,0.84765625,0.03621910200035927,216129
LDPC,256,1%,0.009699942551593089,0.01082753286929621,18,48,0.1875,True,True,False,0.8125,0.00023904200043034507,3
GRAND,256,1%,0.009699942551593089,0.01082753286929621,18,39,0.15234375,False,False,False,0.0,0.3351019940000697,2000000
LDPC,256,1%,0.009699942551593089,0.01082753286929621,19,48,0.1875,True,True,False,0.8125,0.00020516200038400711,1
GRAND,256,1%,0.009699942551593089,0.01082753286929621,19,39,0.15234375,True,True,False,0.84765625,6.983399998716777e-05,128
LDPC,256,1%,0.009699942551593089,0.01082753286929621,20,48,0.1875,True,True,False,0.8125,0.00012269699982425664,1
GRAND,256,1%,0.009699942551593089,0.01082753286929621,20,39,0.15234375,True,True,False,0.84765625,0.001378069000566029,8076
LDPC,256,1%,0.009699942551593089,0.01082753286929621,21,48,0.1875,False,False,False,0.0,0.00522178899973369,120
GRAND,256,1%,0.009699942551593089,0.01082753286929621,21,39,0.15234375,True,True,False,0.84765625,0.002082160000099975,11848
LDPC,256,1%,0.009699942551593089,0.01082753286929621,22,48,0.1875,True,True,False,0.8125,0.001892364000013913,43
GRAND,256,1%,0.009699942551593089,0.01082753286929621,22,39,0.15234375,False,False,False,0.0,0.340209691000382,2000000
LDPC,256,1%,0.009699942551593089,0.01082753286929621,23,48,0.1875,True,True,False,0.8125,0.0007560149997516419,13
GRAND,256,1%,0.009699942551593089,0.01082753286929621,23,39,0.15234375,True,True,False,0.84765625,0.03257469299933291,194237
LDPC,256,1%,0.009699942551593089,0.01082753286929621,24,48,0.1875,True,True,False,0.8125,0.00014464400010183454,1
GRAND,256,1%,0.009699942551593089,0.01082753286929621,24,39,0.15234375,True,True,False,0.84765625,3.090500013058772e-05,57
LDPC,256,1%,0.009699942551593089,0.01082753286929621,25,48,0.1875,True,True,False,0.8125,0.00019982600042567356,3
GRAND,256,1%,0.009699942551593089,0.01082753286929621,25,39,0.15234375,True,True,False,0.84765625,0.005061625999587704,29543
LDPC,256,1%,0.009699942551593089,0.01082753286929621,26,48,0.1875,False,False,False,0.0,0.005167248000361724,120
GRAND,256,1%,0.009699942551593089,0.01082753286929621,26,39,0.15234375,False,False,False,0.0,0.33436274799987586,2000000
LDPC,256,1%,0.009699942551593089,0.01082753286929621,27,48,0.1875,True,True,False,0.8125,0.00024837399996613385,1
GRAND,256,1%,0.009699942551593089,0.01082753286929621,27,39,0.15234375,True,True,False,0.84765625,0.0014983229993958957,8476
LDPC,256,1%,0.009699942551593089,0.01082753286929621,28,48,0.1875,False,False,False,0.0,0.005158796999239712,120
GRAND,256,1%,0.009699942551593089,0.01082753286929621,28,39,0.15234375,True,True,False,0.84765625,5.834199964738218e-05,186
LDPC,256,1%,0.009699942551593089,0.01082753286929621,29,48,0.1875,True,True,False,0.8125,0.0002161780003007152,3
GRAND,256,1%,0.009699942551593089,0.01082753286929621,29,39,0.15234375,True,True,False,0.84765625,0.0015250179994836799,8829
LDPC,256,1%,0.009699942551593089,0.01082753286929621,30,48,0.1875,True,True,False,0.8125,0.00011129799986520084,1
GRAND,256,1%,0.009699942551593089,0.01082753286929621,30,39,0.15234375,True,True,False,0.84765625,1.7856000340543687e-05,1
LDPC,256,1%,0.009699942551593089,0.01082753286929621,31,48,0.1875,True,True,False,0.8125,0.00028443300016078865,5
GRAND,256,1%,0.009699942551593089,0.01082753286929621,31,39,0.15234375,False,False,False,0.0,0.3341502209996179,2000000
LDPC,256,1%,0.009699942551593089,0.01082753286929621,32,48,0.1875,True,True,False,0.8125,0.000264688999777718,1
GRAND,256,1%,0.009699942551593089,0.01082753286929621,32,39,0.15234375,True,True,False,0.84765625,0.004285674999664479,25244
LDPC,256,1%,0.009699942551593089,0.01082753286929621,33,48,0.1875,True,True,False,0.8125,0.0001849390000643325,2
GRAND,256,1%,0.009699942551593089,0.01082753286929621,33,39,0.15234375,True,True,False,0.84765625,0.0008132210004987428,4713
LDPC,256,1%,0.009699942551593089,0.01082753286929621,34,48,0.1875,True,True,False,0.8125,0.00020330100051069167,3
GRAND,256,1%,0.009699942551593089,0.01082753286929621,34,39,0.15234375,True,True,False,0.84765625,0.3262621820003915,1954905
LDPC,256,1%,0.009699942551593089,0.01082753286929621,35,48,0.1875,False,False,False,0.0,0.005295551999552117,120
GRAND,256,1%,0.009699942551593089,0.01082753286929621,35,39,0.15234375,True,True,False,0.84765625,0.0017955610001081368,10283
LDPC,256,1%,0.009699942551593089,0.01082753286929621,36,48,0.1875,True,True,False,0.8125,0.00016574700021010358,1
GRAND,256,1%,0.009699942551593089,0.01082753286929621,36,39,0.15234375,True,True,False,0.84765625,1.895300010801293e-05,1
