method,n,qber_label,p_true,p_est,trial,leaked_bits,syndrome_rate,claimed_success,correct,undetected_error,net_key_fraction,time_s,work_units,variant,model
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,18,500,0.5,True,True,False,0.5,0.003810653000982711,7,aware-pipeline,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,19,500,0.5,True,True,False,0.5,0.0038299960015137913,7,uniform,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,19,500,0.5,True,True,False,0.5,0.0035086099996988196,6,aware-same-rate,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,19,500,0.5,True,True,False,0.5,0.003505493999909959,6,aware-pipeline,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,20,500,0.5,True,True,False,0.5,0.003815148998910445,7,uniform,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,20,500,0.5,True,True,False,0.5,0.0031917409996822244,5,aware-same-rate,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,20,500,0.5,True,True,False,0.5,0.0031990949992177775,5,aware-pipeline,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,21,500,0.5,True,True,False,0.5,0.004139773998758756,8,uniform,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,21,500,0.5,True,True,False,0.5,0.0035052880011789966,6,aware-same-rate,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,21,500,0.5,True,True,False,0.5,0.0035133119999954943,6,aware-pipeline,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,22,500,0.5,False,False,False,0.0,0.038493849999213126,120,uniform,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,22,500,0.5,True,True,False,0.5,0.004801122000571922,10,aware-same-rate,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,22,500,0.5,True,True,False,0.5,0.004752196999106673,10,aware-pipeline,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,23,500,0.5,True,True,False,0.5,0.0032054589992185356,5,uniform,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,23,500,0.5,True,True,False,0.5,0.002881192000131705,4,aware-same-rate,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,23,500,0.5,True,True,False,0.5,0.0030190109991963254,4,aware-pipeline,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,24,500,0.5,True,True,False,0.5,0.004135626000788761,8,uniform,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,24,500,0.5,True,True,False,0.5,0.0038167790007719304,7,aware-same-rate,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,24,500,0.5,True,True,False,0.5,0.003928326001187088,7,aware-pipeline,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,25,500,0.5,False,False,False,0.0,0.03852672799985157,120,uniform,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,25,500,0.5,False,False,False,0.0,0.03847771599976113,120,aware-same-rate,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,25,500,0.5,False,False,False,0.0,0.038455613001133315,120,aware-pipeline,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,26,500,0.5,True,True,False,0.5,0.003542406000633491,6,uniform,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,26,500,0.5,True,True,False,0.5,0.00289745500049321,4,aware-same-rate,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,26,500,0.5,True,True,False,0.5,0.00290362899977481,4,aware-pipeline,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,27,500,0.5,True,True,False,0.5,0.004439840999111766,9,uniform,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,27,500,0.5,True,True,False,0.5,0.0038199870014068438,7,aware-same-rate,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,27,500,0.5,True,True,False,0.5,0.0038149689989950275,7,aware-pipeline,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,28,500,0.5,True,True,False,0.5,0.004435774000739912,9,uniform,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,28,500,0.5,True,True,False,0.5,0.004435793998709414,9,aware-same-rate,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,28,500,0.5,True,True,False,0.5,0.004432206000274164,9,aware-pipeline,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,29,500,0.5,True,True,False,0.5,0.004122514999835403,8,uniform,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,29,500,0.5,True,True,False,0.5,0.0035026580007979646,6,aware-same-rate,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,29,500,0.5,True,True,False,0.5,0.0035013409997191047,6,aware-pipeline,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,30,500,0.5,True,True,False,0.5,0.0038137720002850983,7,uniform,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,30,500,0.5,True,True,False,0.5,0.003502514000501833,6,aware-same-rate,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,30,500,0.5,True,True,False,0.5,0.0035054479994869325,6,aware-pipeline,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,31,500,0.5,True,True,False,0.5,0.0038402329992095474,7,uniform,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,31,500,0.5,True,True,False,0.5,0.0035382349997234996,6,aware-same-rate,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,31,500,0.5,True,True,False,0.5,0.003512462999424315,6,aware-pipeline,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,32,500,0.5,True,True,False,0.5,0.003902050000760937,7,uniform,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,32,500,0.5,True,True,False,0.5,0.0029567010005848715,4,aware-same-rate,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,32,500,0.5,True,True,False,0.5,0.002914147000410594,4,aware-pipeline,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,33,500,0.5,True,True,False,0.5,0.005073386999356444,11,uniform,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,33,500,0.5,True,True,False,0.5,0.004459998999664094,9,aware-same-rate,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,33,500,0.5,True,True,False,0.5,0.004457843000636785,9,aware-pipeline,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,34,500,0.5,True,True,False,0.5,0.0032238540006801486,5,uniform,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,34,500,0.5,True,True,False,0.5,0.00320307100082573,5,aware-same-rate,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,34,500,0.5,True,True,False,0.5,0.0032045250009105075,5,aware-pipeline,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,35,500,0.5,True,True,False,0.5,0.004149173000769224,8,uniform,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,35,500,0.5,True,True,False,0.5,0.003833691000181716,7,aware-same-rate,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,35,500,0.5,True,True,False,0.5,0.0038259459997789236,7,aware-pipeline,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,36,500,0.5,True,True,False,0.5,0.0035167639998689992,6,uniform,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,36,500,0.5,True,True,False,0.5,0.0035062570004811278,6,aware-same-rate,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,36,500,0.5,True,True,False,0.5,0.003505337999740732,6,aware-pipeline,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,37,500,0.5,True,True,False,0.5,0.0038245730011112755,7,uniform,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,37,500,0.5,True,True,False,0.5,0.0035047490000579273,6,aware-same-rate,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,37,500,0.5,True,True,False,0.5,0.003506928000206244,6,aware-pipeline,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,38,500,0.5,True,True,False,0.5,0.0041410169997107005,8,uniform,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,38,500,0.5,True,True,False,0.5,0.0032020910002756864,5,aware-same-rate,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,38,500,0.5,True,True,False,0.5,0.003195021999999881,5,aware-pipeline,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,39,500,0.5,True,True,False,0.5,0.005984683000860969,14,uniform,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,39,500,0.5,True,True,False,0.5,0.0038492069998028455,7,aware-same-rate,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,39,500,0.5,True,True,False,0.5,0.0038417720006691525,7,aware-pipeline,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,40,500,0.5,True,True,False,0.5,0.03155120599876682,97,uniform,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,40,500,0.5,True,True,False,0.5,0.005058520999227767,11,aware-same-rate,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,40,500,0.5,True,True,False,0.5,0.005056752999735181,11,aware-pipeline,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,41,500,0.5,True,True,False,0.5,0.006889285999932326,17,uniform,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,41,500,0.5,True,True,False,0.5,0.004122978998566396,8,aware-same-rate,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,41,500,0.5,True,True,False,0.5,0.004123122000237345,8,aware-pipeline,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,42,500,0.5,True,True,False,0.5,0.0038358830006473,7,uniform,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,42,500,0.5,True,True,False,0.5,0.0035046070006501395,6,aware-same-rate,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,42,500,0.5,True,True,False,0.5,0.0035099739998258883,6,aware-pipeline,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,43,500,0.5,True,True,False,0.5,0.0035266960003355052,6,uniform,depolarizing
