method,n,qber_label,p_true,p_est,trial,leaked_bits,syndrome_rate,claimed_success,correct,undetected_error,net_key_fraction,time_s,work_units,variant
GRAND,320,1%,0.009125831172123317,0.008385335413416536,21,39,0.121875,False,False,False,0.0,0.9035740330000408,2000000,aware
GRAND,320,1%,0.009125831172123317,0.008385335413416536,22,37,0.115625,True,True,False,0.884375,7.435299994540401e-05,45,aware
GRAND,320,1%,0.009125831172123317,0.008385335413416536,23,39,0.121875,True,True,False,0.878125,0.0053688039997723536,11878,aware
GRAND,320,1%,0.009125831172123317,0.008385335413416536,24,39,0.121875,True,True,False,0.878125,0.5945954770004391,1293101,aware
GRAND,320,1%,0.009125831172123317,0.008385335413416536,25,38,0.11875,True,True,False,0.88125,0.6410239460001321,1418669,aware
GRAND,320,1%,0.009125831172123317,0.008385335413416536,26,38,0.11875,True,True,False,0.88125,0.19117744300001505,375698,aware
GRAND,320,1%,0.009125831172123317,0.008385335413416536,27,38,0.11875,True,True,False,0.88125,0.00018727999940892914,259,aware
GRAND,320,1%,0.009125831172123317,0.008385335413416536,28,38,0.11875,True,True,False,0.88125,0.004241024999828369,8275,aware
GRAND,320,1%,0.009125831172123317,0.008385335413416536,29,38,0.11875,True,True,False,0.88125,0.12425067500043951,243935,aware
GRAND,320,1%,0.009125831172123317,0.008385335413416536,30,38,0.11875,True,True,False,0.88125,0.004270741999789607,8435,aware
GRAND,320,1%,0.009125831172123317,0.008385335413416536,31,38,0.11875,False,False,False,0.0,1.0395092660000955,2000000,aware
GRAND,320,1%,0.009125831172123317,0.008385335413416536,32,38,0.11875,True,True,False,0.88125,0.004267387999789207,7974,aware
GRAND,320,1%,0.009125831172123317,0.008385335413416536,33,38,0.11875,True,True,False,0.88125,4.5198999941931106e-05,1,aware
GRAND,320,1%,0.009125831172123317,0.008385335413416536,34,37,0.115625,True,True,False,0.884375,5.763099943578709e-05,34,aware
GRAND,320,1%,0.009125831172123317,0.008385335413416536,35,38,0.11875,True,True,False,0.88125,0.003684152000460017,6561,aware
GRAND,320,1%,0.009125831172123317,0.008385335413416536,36,38,0.11875,False,False,False,0.0,0.9133699829999387,2000000,aware
GRAND,320,1%,0.009125831172123317,0.008385335413416536,37,39,0.121875,True,True,False,0.878125,0.0001606680007171235,212,aware
GRAND,320,1%,0.009125831172123317,0.008385335413416536,38,38,0.11875,True,True,False,0.88125,0.021293226999659964,46615,aware
GRAND,320,1%,0.009125831172123317,0.008385335413416536,39,39,0.121875,False,False,False,0.0,0.9180770929997379,2000000,aware
GRAND,96,2%,0.020262271195701665,0.020264116575591986,0,29,0.3020833333333333,True,True,False,0.6979166666666666,0.0038138629997774842,9019,aware
GRAND,96,2%,0.020262271195701665,0.020264116575591986,1,30,0.3125,True,True,False,0.6875,0.0002152029992430471,469,aware
GRAND,96,2%,0.020262271195701665,0.020264116575591986,2,29,0.3020833333333333,True,True,False,0.6979166666666666,1.929199970618356e-05,1,aware
GRAND,96,2%,0.020262271195701665,0.020264116575591986,3,28,0.2916666666666667,True,True,False,0.7083333333333334,0.00022702699970977847,477,aware
GRAND,96,2%,0.020262271195701665,0.020264116575591986,4,30,0.3125,True,True,False,0.6875,0.0008149280001816805,1892,aware
GRAND,96,2%,0.020262271195701665,0.020264116575591986,5,29,0.3020833333333333,True,True,False,0.6979166666666666,0.0040613439996377565,9570,aware
GRAND,96,2%,0.020262271195701665,0.020264116575591986,6,30,0.3125,True,True,False,0.6875,0.005701584999769693,13579,aware
GRAND,96,2%,0.020262271195701665,0.020264116575591986,7,30,0.3125,True,True,False,0.6875,0.000388694999855943,913,aware
GRAND,96,2%,0.020262271195701665,0.020264116575591986,8,30,0.3125,True,True,False,0.6875,0.000291121999907773,655,aware
GRAND,96,2%,0.020262271195701665,0.020264116575591986,9,28,0.2916666666666667,True,True,False,0.7083333333333334,0.004539818000012019,10759,aware
GRAND,96,2%,0.020262271195701665,0.020264116575591986,10,30,0.3125,True,True,False,0.6875,0.00397234899992327,9447,aware
GRAND,96,2%,0.020262271195701665,0.020264116575591986,11,29,0.3020833333333333,True,True,False,0.6979166666666666,0.002392679999502434,5739,aware
GRAND,96,2%,0.020262271195701665,0.020264116575591986,12,30,0.3125,True,True,False,0.6875,0.002404352999292314,5878,aware
GRAND,96,2%,0.020262271195701665,0.020264116575591986,13,32,0.3333333333333333,True,True,False,0.6666666666666666,0.0007536889997936669,1611,aware
GRAND,96,2%,0.020262271195701665,0.020264116575591986,14,30,0.3125,True,True,False,0.6875,0.0003278089998275391,746,aware
GRAND,96,2%,0.020262271195701665,0.020264116575591986,15,28,0.2916666666666667,True,True,False,0.7083333333333334,0.0010337610001442954,2532,aware
GRAND,96,2%,0.020262271195701665,0.020264116575591986,16,29,0.3020833333333333,True,True,False,0.6979166666666666,0.0044053619994883775,10497,aware
GRAND,96,2%,0.020262271195701665,0.020264116575591986,17,31,0.3229166666666667,True,True,False,0.6770833333333334,0.0019957589993282454,4403,aware
