method,n,qber_label,p_true,p_est,trial,leaked_bits,syndrome_rate,claimed_success,correct,undetected_error,net_key_fraction,time_s,work_units
LDPC,16,1%,0.009229349330872173,0.009615384615384616,17,3,0.1875,True,True,False,0.8125,5.557300028158352e-05,1
GRAND,16,1%,0.009229349330872173,0.009615384615384616,17,16,1.0,True,True,False,0.0,1.1643000107142143e-05,1
LDPC,16,1%,0.009229349330872173,0.009615384615384616,18,3,0.1875,False,False,False,0.0,0.003609557999880053,120
GRAND,16,1%,0.009229349330872173,0.009615384615384616,18,16,1.0,True,True,False,0.0,2.3587000214320142e-05,16
LDPC,16,1%,0.009229349330872173,0.009615384615384616,19,3,0.1875,True,True,False,0.8125,5.80040004933835e-05,1
GRAND,16,1%,0.009229349330872173,0.009615384615384616,19,16,1.0,True,True,False,0.0,1.1891000212926883e-05,1
LDPC,16,1%,0.009229349330872173,0.009615384615384616,20,3,0.1875,True,True,False,0.8125,5.623600009130314e-05,1
GRAND,16,1%,0.009229349330872173,0.009615384615384616,20,16,1.0,True,True,False,0.0,1.1393000022508204e-05,1
LDPC,16,1%,0.009229349330872173,0.009615384615384616,21,3,0.1875,True,True,False,0.8125,5.570299981627613e-05,1
GRAND,16,1%,0.009229349330872173,0.009615384615384616,21,16,1.0,True,True,False,0.0,1.1588000234041829e-05,1
LDPC,16,1%,0.009229349330872173,0.009615384615384616,22,3,0.1875,False,False,False,0.0,0.0036151730000710813,120
GRAND,16,1%,0.009229349330872173,0.009615384615384616,22,16,1.0,True,True,False,0.0,1.576999966346193e-05,1
LDPC,16,1%,0.009229349330872173,0.009615384615384616,23,3,0.1875,True,True,False,0.8125,5.796000004920643e-05,1
GRAND,16,1%,0.009229349330872173,0.009615384615384616,23,16,1.0,True,True,False,0.0,1.167800019175047e-05,1
LDPC,16,1%,0.009229349330872173,0.009615384615384616,24,3,0.1875,True,True,False,0.8125,5.558600059885066e-05,1
GRAND,16,1%,0.009229349330872173,0.009615384615384616,24,16,1.0,True,True,False,0.0,1.1713999811036047e-05,1
LDPC,16,1%,0.009229349330872173,0.009615384615384616,25,3,0.1875,False,False,False,0.0,0.0036010390003866632,120
GRAND,16,1%,0.009229349330872173,0.009615384615384616,25,16,1.0,True,True,False,0.0,1.688900010776706e-05,4
LDPC,16,1%,0.009229349330872173,0.009615384615384616,26,3,0.1875,True,True,False,0.8125,5.759799933002796e-05,1
GRAND,16,1%,0.009229349330872173,0.009615384615384616,26,16,1.0,True,True,False,0.0,1.16319997687242e-05,1
LDPC,16,1%,0.009229349330872173,0.009615384615384616,27,3,0.1875,True,True,False,0.8125,5.4084999646875076e-05,1
GRAND,16,1%,0.009229349330872173,0.009615384615384616,27,16,1.0,True,True,False,0.0,1.1112000720459037e-05,1
LDPC,16,1%,0.009229349330872173,0.009615384615384616,28,3,0.1875,True,True,False,0.8125,5.4199000260268804e-05,1
GRAND,16,1%,0.009229349330872173,0.009615384615384616,28,16,1.0,True,True,False,0.0,1.1089000508945901e-05,1
LDPC,16,1%,0.009229349330872173,0.009615384615384616,29,3,0.1875,True,True,False,0.8125,6.103800023993244e-05,1
GRAND,16,1%,0.009229349330872173,0.009615384615384616,29,16,1.0,True,True,False,0.0,1.113600046664942e-05,1
