method,n,qber_label,p_true,p_est,trial,leaked_bits,syndrome_rate,claimed_success,correct,undetected_error,net_key_fraction,time_s,work_units
GRAND,200,2%,0.01913324112494237,0.02120792992162287,25,46,0.23,True,True,False,0.77,4.673300009017112e-05,63
LDPC,200,2%,0.01913324112494237,0.02120792992162287,26,75,0.375,True,True,False,0.625,0.0001238450004166225,1
GRAND,200,2%,0.01913324112494237,0.02120792992162287,26,46,0.23,True,True,False,0.77,1.857999995991122e-05,1
LDPC,200,2%,0.01913324112494237,0.02120792992162287,27,75,0.375,True,True,False,0.625,0.00017623700023250422,2
GRAND,200,2%,0.01913324112494237,0.02120792992162287,27,46,0.23,False,False,False,0.0,0.33273236799959705,2000000
LDPC,200,2%,0.01913324112494237,0.02120792992162287,28,75,0.375,True,True,False,0.625,0.00036879899926134385,4
GRAND,200,2%,0.01913324112494237,0.02120792992162287,28,46,0.23,False,False,False,0.0,0.35663136299990583,2000000
LDPC,200,2%,0.01913324112494237,0.02120792992162287,29,75,0.375,True,True,False,0.625,0.00021341499996196944,1
GRAND,200,2%,0.01913324112494237,0.02120792992162287,29,46,0.23,False,False,False,0.0,0.34038925000004383,2000000
LDPC,1000,2%,0.01913324112494237,0.02120792992162287,0,300,0.3,True,True,False,0.7,0.002039787999819964,4
GRAND,1000,2%,0.01913324112494237,0.02120792992162287,0,165,0.165,False,False,False,0.0,0.3631936819992916,2000000
LDPC,1000,2%,0.01913324112494237,0.02120792992162287,1,300,0.3,True,True,False,0.7,0.0020019549992866814,4
GRAND,1000,2%,0.01913324112494237,0.02120792992162287,1,165,0.165,False,False,False,0.0,0.36750361299982615,2000000
LDPC,1000,2%,0.01913324112494237,0.02120792992162287,2,300,0.3,True,True,False,0.7,0.0019260939998275717,3
GRAND,1000,2%,0.01913324112494237,0.02120792992162287,2,165,0.165,False,False,False,0.0,0.34682727200015506,2000000
LDPC,1000,2%,0.01913324112494237,0.02120792992162287,3,300,0.3,True,True,False,0.7,0.0017847010003606556,3
GRAND,1000,2%,0.01913324112494237,0.02120792992162287,3,165,0.165,False,False,False,0.0,0.3474199989996123,2000000
LDPC,1000,2%,0.01913324112494237,0.02120792992162287,4,300,0.3,True,True,False,0.7,0.002019303000452055,4
GRAND,1000,2%,0.01913324112494237,0.02120792992162287,4,165,0.165,False,False,False,0.0,0.3625548609998077,2000000
LDPC,1000,2%,0.01913324112494237,0.02120792992162287,5,300,0.3,True,True,False,0.7,0.0022666740005661268,4
GRAND,1000,2%,0.01913324112494237,0.02120792992162287,5,165,0.165,False,False,False,0.0,0.3919349460002195,2000000
LDPC,1000,2%,0.01913324112494237,0.02120792992162287,6,300,0.3,True,True,False,0.7,0.0024796930001684814,5
GRAND,1000,2%,0.01913324112494237,0.02120792992162287,6,165,0.165,False,False,False,0.0,0.40270891899945127,2000000
LDPC,1000,2%,0.01913324112494237,0.02120792992162287,7,300,0.3,True,True,False,0.7,0.002593346999674395,5
GRAND,1000,2%,0.01913324112494237,0.02120792992162287,7,165,0.165,False,False,False,0.0,0.40334892200007744,2000000
LDPC,1000,2%,0.01913324112494237,0.02120792992162287,8,300,0.3,True,True,False,0.7,0.002806622000207426,6
GRAND,1000,2%,0.01913324112494237,0.02120792992162287,8,165,0.165,False,False,False,0.0,0.4003559500006304,2000000
LDPC,1000,2%,0.01913324112494237,0.02120792992162287,9,300,0.3,True,True,False,0.7,0.0025704350000523846,5
GRAND,1000,2%,0.01913324112494237,0.02120792992162287,9,165,0.165,False,False,False,0.0,0.4010151140000744,2000000
LDPC,4000,2%,0.01913324112494237,0.02120792992162287,0,1000,0.25,True,True,False,0.75,0.029612885999995342,6
GRAND,4000,2%,0.01913324112494237,0.02120792992162287,0,609,0.15225,False,False,False,0.0,0.4556947579994812,2000000
LDPC,4000,2%,0.01913324112494237,0.02120792992162287,1,1000,0.25,True,True,False,0.75,0.03387815399946703,8
GRAND,4000,2%,0.01913324112494237,0.02120792992162287,1,609,0.15225,False,False,False,0.0,0.41525064800043765,2000000
LDPC,4000,2%,0.01913324112494237,0.02120792992162287,2,1000,0.25,True,True,False,0.75,0.02734536099978868,5
GRAND,4000,2%,0.01913324112494237,0.02120792992162287,2,609,0.15225,False,False,False,0.0,0.4172210799997629,2000000
LDPC,4000,2%,0.01913324112494237,0.02120792992162287,3,1000,0.25,True,True,False,0.75,0.025063762000172574,4
GRAND,4000,2%,0.01913324112494237,0.02120792992162287,3,609,0.15225,False,False,False,0.0,0.4144478220005112,2000000
LDPC,4000,2%,0.01913324112494237,0.02120792992162287,4,1000,0.25,True,True,False,0.75,0.027157858999999007,5
GRAND,4000,2%,0.01913324112494237,0.02120792992162287,4,609,0.15225,False,False,False,0.0,0.40747641999951156,2000000
LDPC,4000,2%,0.01913324112494237,0.02120792992162287,5,1000,0.25,True,True,False,0.75,0.022120523000012327,3
GRAND,4000,2%,0.01913324112494237,0.02120792992162287,5,609,0.15225,False,False,False,0.0,0.4136310349995256,2000000
