method,n,qber_label,p_true,p_est,trial,leaked_bits,syndrome_rate,claimed_success,correct,undetected_error,net_key_fraction,time_s,work_units,budget
GRAND,16,1%,0.009229349330872173,0.009615384615384616,25,16,1.0,True,True,False,0.0,1.2829999832320027e-05,4,100000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,25,16,1.0,True,True,False,0.0,1.210999926115619e-05,4,1000000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,26,16,1.0,True,True,False,0.0,1.0564000149315689e-05,1,10000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,26,16,1.0,True,True,False,0.0,1.0302000191586558e-05,1,100000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,26,16,1.0,True,True,False,0.0,9.889000466500875e-06,1,1000000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,27,16,1.0,True,True,False,0.0,1.0394999662821647e-05,1,10000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,27,16,1.0,True,True,False,0.0,9.863999366643839e-06,1,100000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,27,16,1.0,True,True,False,0.0,9.700000191514846e-06,1,1000000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,28,16,1.0,True,True,False,0.0,1.0345999726268928e-05,1,10000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,28,16,1.0,True,True,False,0.0,1.006399998004781e-05,1,100000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,28,16,1.0,True,True,False,0.0,9.603999387763906e-06,1,1000000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,29,16,1.0,True,True,False,0.0,1.0384000233898405e-05,1,10000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,29,16,1.0,True,True,False,0.0,9.682999916549306e-06,1,100000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,29,16,1.0,True,True,False,0.0,9.609999324311502e-06,1,1000000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,30,16,1.0,True,True,False,0.0,1.0173000191571191e-05,1,10000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,30,16,1.0,True,True,False,0.0,9.699000656837597e-06,1,100000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,30,16,1.0,True,True,False,0.0,9.833999683905859e-06,1,1000000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,31,16,1.0,True,True,False,0.0,1.0160999408981297e-05,1,10000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,31,16,1.0,True,True,False,0.0,1.4520000149786938e-05,1,100000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,31,16,1.0,True,True,False,0.0,9.982999472413212e-06,1,1000000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,32,16,1.0,True,True,False,0.0,1.0016000487667043e-05,1,10000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,32,16,1.0,True,True,False,0.0,1.042199983203318e-05,1,100000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,32,16,1.0,True,True,False,0.0,9.653999768488575e-06,1,1000000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,33,16,1.0,True,True,False,0.0,9.966999641619623e-06,1,10000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,33,16,1.0,True,True,False,0.0,9.811999916564673e-06,1,100000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,33,16,1.0,True,True,False,0.0,9.596999916539062e-06,1,1000000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,34,16,1.0,True,True,False,0.0,1.0683000255085062e-05,1,10000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,34,16,1.0,True,True,False,0.0,9.977000445360318e-06,1,100000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,34,16,1.0,True,True,False,0.0,9.649999810790177e-06,1,1000000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,35,16,1.0,True,True,False,0.0,1.0201000804954674e-05,1,10000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,35,16,1.0,True,True,False,0.0,1.0366999958932865e-05,1,100000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,35,16,1.0,True,True,False,0.0,9.84799953585025e-06,1,1000000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,36,16,1.0,True,True,False,0.0,1.009700008580694e-05,1,10000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,36,16,1.0,True,True,False,0.0,1.0022999958891887e-05,1,100000
