method,n,qber_label,p_true,p_est,trial,leaked_bits,syndrome_rate,claimed_success,correct,undetected_error,net_key_fraction,time_s,work_units,variant,scheme
LDPC,1000,10%,0.09644930010242403,0.09983429991714995,0,600,0.6,True,True,False,0.4,0.031684300000051735,10,aware-pipeline,baseline
LDPC,1000,10%,0.09644930010242403,0.09983429991714995,1,600,0.6,True,True,False,0.4,0.026528999998845393,10,uniform,baseline
LDPC,1000,10%,0.09644930010242403,0.09983429991714995,1,600,0.6,True,True,False,0.4,0.02122560000134399,7,aware-same-rate,baseline
LDPC,1000,10%,0.09644930010242403,0.09983429991714995,1,600,0.6,True,True,False,0.4,0.02322650000132853,7,aware-pipeline,baseline
LDPC,1000,10%,0.09644930010242403,0.09983429991714995,2,600,0.6,True,True,False,0.4,0.04898040000261972,17,uniform,baseline
LDPC,1000,10%,0.09644930010242403,0.09983429991714995,2,600,0.6,True,True,False,0.4,0.03418460000102641,11,aware-same-rate,baseline
LDPC,1000,10%,0.09644930010242403,0.09983429991714995,2,600,0.6,True,True,False,0.4,0.03137439999773051,11,aware-pipeline,baseline
LDPC,1000,10%,0.09644930010242403,0.09983429991714995,3,600,0.6,True,True,False,0.4,0.040479499999491964,15,uniform,baseline
LDPC,1000,10%,0.09644930010242403,0.09983429991714995,3,600,0.6,True,True,False,0.4,0.02364060000036261,8,aware-same-rate,baseline
LDPC,1000,10%,0.09644930010242403,0.09983429991714995,3,600,0.6,True,True,False,0.4,0.024343799999769544,8,aware-pipeline,baseline
LDPC,1000,10%,0.09644930010242403,0.09983429991714995,4,600,0.6,True,True,False,0.4,0.07270939999943948,33,uniform,baseline
LDPC,1000,10%,0.09644930010242403,0.09983429991714995,4,600,0.6,True,True,False,0.4,0.03922430000238819,17,aware-same-rate,baseline
LDPC,1000,10%,0.09644930010242403,0.09983429991714995,4,600,0.6,True,True,False,0.4,0.03884759999709786,17,aware-pipeline,baseline
LDPC,1000,10%,0.09644930010242403,0.09983429991714995,5,600,0.6,True,True,False,0.4,0.026891099998465506,10,uniform,baseline
LDPC,1000,10%,0.09644930010242403,0.09983429991714995,5,600,0.6,True,True,False,0.4,0.025310699998954078,8,aware-same-rate,baseline
LDPC,1000,10%,0.09644930010242403,0.09983429991714995,5,600,0.6,True,True,False,0.4,0.023043600001983577,8,aware-pipeline,baseline
LDPC,1000,10%,0.09644930010242403,0.09983429991714995,6,600,0.6,True,True,False,0.4,0.0370349000004353,16,uniform,baseline
LDPC,1000,10%,0.09644930010242403,0.09983429991714995,6,600,0.6,True,True,False,0.4,0.03874540000106208,12,aware-same-rate,baseline
LDPC,1000,10%,0.09644930010242403,0.09983429991714995,6,600,0.6,True,True,False,0.4,0.0393021999989287,12,aware-pipeline,baseline
LDPC,1000,10%,0.09644930010242403,0.09983429991714995,7,600,0.6,True,True,False,0.4,0.13386800000080257,31,uniform,baseline
LDPC,1000,10%,0.09644930010242403,0.09983429991714995,7,600,0.6,True,True,False,0.4,0.05952080000133719,9,aware-same-rate,baseline
LDPC,1000,10%,0.09644930010242403,0.09983429991714995,7,600,0.6,True,True,False,0.4,0.08058520000122371,9,aware-pipeline,baseline
LDPC,1000,10%,0.09644930010242403,0.09983429991714995,8,600,0.6,True,True,False,0.4,0.07244509999873117,11,uniform,baseline
